molecule_id,smiles,pdb_id,status,error,best_affinity_kcal,affinity_pose2_kcal,affinity_pose3_kcal,affinity_pose4_kcal,affinity_pose5_kcal,all_scores,n_poses,pocket_ligand,pocket_center,box_size,all_poses_file,best_pose_file,complex_pdb,gene,pIC50,qed,mw,logp,composite_score,pred_active_prob
CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-8.916,-8.83,-8.091,-7.857,-7.685,"[-8.916, -8.83, -8.091, -7.857, -7.685, -7.5, -7.058, -7.021, -6.801]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53711/CHEMBL53711_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53711/CHEMBL53711_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53711/CHEMBL53711_complex.pdb,EGFR,11.221848749616356,0.7868681517234083,343.04325754800004,3.5969000000000015,0.7605001669124617,0.996734122000391
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-9.903,-8.635,-8.459,-8.12,-8.016,"[-9.903, -8.635, -8.459, -8.12, -8.016, -7.994, -7.823, -7.807, -7.683]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53753/CHEMBL53753_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53753/CHEMBL53753_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53753/CHEMBL53753_complex.pdb,EGFR,11.096910013008056,0.7686164717854101,329.02760748400004,3.572600000000002,0.7350780322235126,0.9992707221629314
CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8A27,success,,-8.234,-7.865,-7.547,-7.524,-7.342,"[-8.234, -7.865, -7.547, -7.524, -7.342, -7.273, -7.113, -7.103, -6.992]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53428/CHEMBL53428_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53428/CHEMBL53428_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53428/CHEMBL53428_complex.pdb,EGFR,10.045757490560675,0.7868681517234083,343.04325754800004,3.5969000000000015,0.668909052483205,0.9988032691185057
CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8A27,success,,-9.325,-8.702,-8.671,-8.33,-8.294,"[-9.325, -8.702, -8.671, -8.33, -8.294, -8.241, -7.879, -7.762, -7.597]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL54400/CHEMBL54400_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL54400/CHEMBL54400_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL54400/CHEMBL54400_complex.pdb,EGFR,9.886056647693163,0.7686164717854101,329.02760748400004,3.5726000000000013,0.6391211491071279,0.9958205912334352
CHEMBL166154,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8A27,success,,-9.81,-8.724,-8.511,-8.244,-8.094,"[-9.81, -8.724, -8.511, -8.244, -8.094, -8.032, -7.757, -7.741, -7.368]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL166154/CHEMBL166154_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL166154/CHEMBL166154_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL166154/CHEMBL166154_complex.pdb,EGFR,9.721246399047171,0.7714383625489651,285.078123064,3.4635000000000007,0.6053077405992257,0.9587602032224091
CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,8A27,success,,-10.261,-10.218,-8.394,-7.952,-7.675,"[-10.261, -10.218, -8.394, -7.952, -7.675]",5,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5790648/CHEMBL5790648_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5790648/CHEMBL5790648_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5790648/CHEMBL5790648_complex.pdb,EGFR,10.795880017344075,0.6562395765631853,443.116045368,3.8153000000000032,0.6007293636024061,0.9877975848650515
CHEMBL188762,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8A27,success,,-9.465,-9.185,-9.107,-8.508,-8.418,"[-9.465, -9.185, -9.107, -8.508, -8.418, -8.195, -7.522, -7.457, -6.94]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL188762/CHEMBL188762_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL188762/CHEMBL188762_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL188762/CHEMBL188762_complex.pdb,EGFR,10.0,0.7095444826836672,370.0429232,4.484400000000003,0.5837886510947522,0.9719653172734624
CHEMBL161956,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-8.707,-8.219,-7.927,-7.716,-7.556,"[-8.707, -8.219, -7.927, -7.716, -7.556, -6.914, -6.874, -6.757, -6.72]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL161956/CHEMBL161956_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL161956/CHEMBL161956_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL161956/CHEMBL161956_complex.pdb,EGFR,9.657577319177793,0.7154897998540194,373.0538222320001,2.9594000000000005,0.5766516504884376,0.9925769187846192
CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,8A27,success,,-8.883,-8.866,-8.275,-8.162,-8.022,"[-8.883, -8.866, -8.275, -8.162, -8.022, -8.009, -7.786, -7.343, -7.252]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL162821/CHEMBL162821_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL162821/CHEMBL162821_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL162821/CHEMBL162821_complex.pdb,EGFR,9.346787486224656,0.761492325423499,265.13274548,3.118520000000001,0.5675549593181026,0.9547370280705341
CHEMBL5746224,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,8A27,success,,-9.272,-9.23,-9.216,-8.964,-8.904,"[-9.272, -9.23, -9.216, -8.964, -8.904, -8.748, -8.465, -8.416, -7.976]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5746224/CHEMBL5746224_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5746224/CHEMBL5746224_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5746224/CHEMBL5746224_complex.pdb,EGFR,10.769551078621726,0.640810719305486,441.1367808119999,4.586900000000004,0.5657308000705074,0.9553820445096608
