2026-04-21 12:16:44 | stage1_data_acquisition | INFO     | Loaded 1 hub genes: ['EGFR']
2026-04-21 12:16:45 | stage1_data_acquisition | INFO     |   EGFR → P00533 (Epidermal growth factor receptor)
2026-04-21 12:16:45 | stage1_data_acquisition | INFO     | UniProt mapping: 1 genes, 1 mapped
2026-04-21 12:16:45 | stage1_data_acquisition | INFO     | Valid UniProt mappings: 1/1
2026-04-21 12:16:45 | stage1_data_acquisition | INFO     | 
============================================================
2026-04-21 12:16:45 | stage1_data_acquisition | INFO     | Processing: EGFR (UniProt: P00533)
2026-04-21 12:16:48 | stage1_data_acquisition | INFO     | [EGFR] ChEMBL target: CHEMBL203
2026-04-21 12:16:48 | stage1_data_acquisition | INFO     | Fetching bioactivities for CHEMBL203...
2026-04-21 12:16:49 | stage1_data_acquisition | INFO     |   Total activities: 17036
2026-04-21 12:18:20 | stage1_data_acquisition | INFO     | [EGFR] Preprocessed bioactivities: 9996
2026-04-21 12:21:58 | stage1_data_acquisition | INFO     | [EGFR] Final compounds: 9979
