2026-04-21 12:23:17 | stage3_ml            | INFO     | 
============================================================
[EGFR] ML analysis: 1635 compounds
2026-04-21 12:23:19 | stage3_ml            | INFO     | Generated morgan fingerprints: (1635, 2048) for 1635 compounds
2026-04-21 12:23:19 | stage3_ml            | INFO     | Activity labels: 1025 active, 610 inactive (cutoff pIC50=6.3)
2026-04-21 12:23:20 | stage3_ml            | INFO     | [EGFR] Training classifier: Random Forest
2026-04-21 12:23:23 | stage3_ml            | INFO     | [EGFR] Random Forest: AUC=0.911±0.023, Sens=0.890, Spec=0.734
2026-04-21 12:23:24 | stage3_ml            | INFO     | [EGFR] Training classifier: XGBoost
2026-04-21 12:23:28 | stage3_ml            | INFO     | [EGFR] XGBoost: AUC=0.901±0.025, Sens=0.904, Spec=0.712
2026-04-21 12:23:29 | stage3_ml            | INFO     | [EGFR] Training classifier: SVM (RBF)
2026-04-21 12:23:57 | stage3_ml            | INFO     | [EGFR] SVM (RBF): AUC=0.887±0.017, Sens=0.941, Spec=0.619
2026-04-21 12:24:05 | stage3_ml            | INFO     | [EGFR] Training classifier: Neural Network
2026-04-21 12:24:42 | stage3_ml            | INFO     | [EGFR] Neural Network: AUC=0.892±0.026, Sens=0.877, Spec=0.726
2026-04-21 12:24:52 | stage3_ml            | INFO     | [EGFR] Training classifier: Gradient Boosting
2026-04-21 12:25:31 | stage3_ml            | INFO     | [EGFR] Gradient Boosting: AUC=0.883±0.025, Sens=0.912, Spec=0.675
2026-04-21 12:25:43 | stage3_ml            | INFO     | [EGFR] Training regressor: Random Forest
2026-04-21 12:25:49 | stage3_ml            | INFO     | [EGFR] Random Forest Regressor: R²=0.624, MAE=0.669
2026-04-21 12:25:50 | stage3_ml            | INFO     | Saved regression scatter: /Users/wangyang/Desktop/drug_pipeline/figures/EGFR_Random_Forest_regression.pdf
2026-04-21 12:25:50 | stage3_ml            | INFO     | [EGFR] Training regressor: XGBoost
2026-04-21 12:25:51 | stage3_ml            | INFO     | [EGFR] XGBoost Regressor: R²=0.631, MAE=0.663
2026-04-21 12:25:52 | stage3_ml            | INFO     | Saved regression scatter: /Users/wangyang/Desktop/drug_pipeline/figures/EGFR_XGBoost_regression.pdf
2026-04-21 12:25:52 | stage3_ml            | INFO     | [EGFR] Training regressor: Neural Network
2026-04-21 12:25:58 | stage3_ml            | INFO     | [EGFR] Neural Network Regressor: R²=0.558, MAE=0.737
2026-04-21 12:25:59 | stage3_ml            | INFO     | Saved regression scatter: /Users/wangyang/Desktop/drug_pipeline/figures/EGFR_Neural_Network_regression.pdf
2026-04-21 12:25:59 | stage3_ml            | INFO     | [EGFR] Best classifier: Random Forest (test AUC=0.933)
2026-04-21 12:25:59 | stage3_ml            | INFO     | [EGFR] Best regressor: XGBoost (test R²=0.631)
2026-04-21 12:26:00 | stage3_ml            | INFO     | Saved ROC curves: /Users/wangyang/Desktop/drug_pipeline/figures/EGFR_roc_curves.pdf
2026-04-21 12:26:00 | stage3_ml            | WARNING  | [EGFR] Some plots failed: 'ErrorbarContainer' object has no attribute 'patches'
